Cl	f(p1)	b	0.720518E+4 0.513679E+2 0.231490E+2 0.101117E+2 0.377746E+1 0.104586E+1 0.269182E+0 0.384488E-1
Ar	f(tot)	a	0.100287E+0 0.939149E+0 0.261757E+0 0.184732E+1 0.867358E+0 0.364802E+0 0.146884E+0 0.404857E-1
Ar	f(tot)	b	0.316793E+2 0.272534E+2 0.163392E+2 0.974352E+1 0.347548E+1 0.934758E+0 0.250136E+0 0.356540E-1
K	f(tot)	a	0.509555E+0 0.211140E+1 0.263424E+1 0.181582E+1 0.166432E+1 0.523045E+0 0.214644E+0 0.517388E-1
K	f(tot)	b	0.570799E+4 0.200381E+3 0.745059E+2 0.168755E+2 0.550068E+1 0.140805E+1 0.325617E+0 0.425010E-1
K	f(core)	a	0.520883E+0 0.567269E-1 0.563702E+0 0.155721E+1 0.834053E+0 0.329807E+0 0.140791E+0 0.394075E-1
K	f(core)	b	0.684265E+4 0.711405E+3 0.224813E+2 0.894941E+1 0.331170E+1 0.892694E+0 0.242179E+0 0.348796E-1
K	f(4s)	a	0.101288E+1 0.249518E+1 0.133796E+1 0.446237E+0 0.162126E+0 0.509868E-1 0.139559E-1 0.307866E-2
K	f(4s)	b	0.247364E+3 0.119303E+3 0.508664E+2 0.177862E+2 0.560079E+1 0.156691E+1 0.354658E+0 0.459352E-1
Ca	f(tot)	a	0.562734E-1 0.239663E+1 0.345647E+1 0.178328E+1 0.153037E+1 0.485732E+0 0.202041E+0 0.509987E-1
Ca	f(tot)	b	0.323496E+4 0.135209E+3 0.532326E+2 0.143749E+2 0.465062E+1 0.124277E+1 0.296816E+0 0.401067E-1
Ca	f(core)	a	0.451701E-1 0.454739E-1 0.765310E+0 0.112481E+1 0.461556E+0 0.234726E+0 0.103885E+0 0.328339E-1
Ca	f(core)	b	0.500245E+4 0.393522E+2 0.125173E+2 0.540729E+1 0.205441E+1 0.635367E+0 0.190391E+0 0.294645E-1
Ca	f(4s)	a	0.267836E+0 0.147879E+1 0.122843E+1 0.392959E+0 0.144570E+0 0.464001E-1 0.129725E-1 0.294850E-2
Ca	f(4s)	b	0.214095E+3 0.999527E+2 0.442870E+2 0.161896E+2 0.505911E+1 0.144885E+1 0.334370E+0 0.442462E-1
Sc	f(tot)	a	0.231468E+1 0.289937E+1 0.149840E+1 0.146470E+1 0.660052E+0 0.281909E+0 0.125616E+0 0.390294E-1
Sc	f(tot)	b	0.113601E+3 0.458768E+2 0.153513E+2 0.559414E+1 0.213790E+1 0.654850E+0 0.193857E+0 0.299493E-1
Sc	f(core)	a	0.736424E+0 0.892429E+0 0.170559E+0 0.343805E+0 0.775995E-2 0.150060E+0 0.116646E-1 0.428656E-1
Sc	f(core)	b	0.108625E+2 0.410771E+1 0.375235E+1 0.111236E+1 0.107530E+1 0.275419E+0 0.250234E+0 0.379326E-1
Sc	f(4s)	a	0.461681E+0 0.135134E+1 0.889525E+0 0.283478E+0 0.110662E+0 0.363886E-1 0.107931E-1 0.264750E-2
Sc	f(4s)	b	0.157517E+3 0.750927E+2 0.332416E+2 0.121592E+2 0.396614E+1 0.118224E+1 0.288819E+0 0.402546E-1
Sc	f(d1)	a	0.175377E+0 0.394417E+0 0.279196E+0 0.110704E+0 0.397802E-1 0.167396E-1 0.628126E-2 0.192189E-2
Sc	f(d1)	b	0.689662E+2 0.297720E+2 0.128868E+2 0.523226E+1 0.189345E+1 0.645615E+0 0.189241E+0 0.301152E-1
Sc	f(d2)	a	0.130830E+0 0.311543E+0 0.616615E-1 0.192157E+0 0.100677E+0 0.299434E-1 0.889591E-2 0.235864E-2
Sc	f(d2)	b	0.513435E+2 0.205715E+2 0.954306E+1 0.782324E+1 0.300583E+1 0.954995E+0 0.247481E+0 0.363019E-1
Sc	f(d3)	a	0.466615E-1 0.433496E-1 0.615772E-1 0.709559E-1 0.350343E-1 0.141476E-1 0.541633E-2 0.174151E-2
Sc	f(d3)	b	0.320883E+2 0.135019E+2 0.973262E+1 0.406405E+1 0.153851E+1 0.549156E+0 0.167663E+0 0.274654E-1
Ti	f(tot)	a	0.145691E+1 0.279449E+1 0.164463E+1 0.151368E+1 0.858929E+0 0.315300E+0 0.142948E+0 0.429789E-1
